campaign_id,total_unique_donors
S0KS00240,14
H2AZ04200,3
H0WA02197,75
H0WA01124,37
H0FL22100,124
H0FL21110,20
H2NJ11137,349
H2OH01186,5
H2WA04165,77
H0DE01066,8
H0CA10271,28
H8WI02121,23
H0PA08213,7
H0TX23268,111
S2GA00209,138
H2CO06172,2
H0IN01218,10
H0NC06241,60
H2FL04146,17
H0TN03254,84
H2OH15186,143
H0CT01126,7
H0TX28069,117
H8ID01124,100
H4OK06056,43
H0CA52083,34
H2CO07162,33
H0AZ02265,55
H0NC11191,69
H0NC02158,53
H0NV04031,46
H0IL11110,58
H2NC05157,74
H0OK04208,6
H8NH02275,25
S4NJ00250,40
H2FL25018,12
H2GA10158,78
H8NH02283,8
H0FL20112,4
H2FL21074,40
H0NY04149,46
H0PA17115,93
H0CO02225,44
H6IN09176,57
H2VA10141,3
H0CA17193,11
H0CA12137,29
H0TX11248,30
H0TX04201,27
H2NJ12127,108
H0GA09246,9
H0CA53214,15
H8TN09114,15
H2NV04094,42
H4AL06098,33
H2CT02161,36
H6TX07128,2
H0UT04019,42
H0IA04137,91
H4MT01033,58
H0FL23108,16
H0FL19122,30
H0NY10120,4
H0TX16114,7
H0CT05192,7
H0MI03274,4
H0CA48206,8
H0IN01242,15
H0FL07168,7
H2PA05074,88
H0MI11111,48
H4LA06153,9
P60005915,24
H8PA13125,81
H2AL03032,23
H0IA04152,45
H0TX23276,14
H0WI07051,25
H0FL19163,28
H0CA06170,9
H0WA10109,61
H4KY06163,1
H2TX08158,6
H0WI03142,16
H0PA18113,34
H0NJ06230,18
H0NY02200,67
H2TN05347,10
H0CA08069,7
H0IN05334,28
S2IA00131,12
H0FL23132,7
H0NJ09192,6
H2MA02077,49
S8CA00515,51
S2AL00137,42
H2KY04196,28
H4VA07127,5
S0NH00318,18
H0LA05104,12
H2GA10182,18
H0NH01290,103
H0IL03117,7
H2MD03184,7
H0NV04064,16
H0TX23243,8
H2NC11080,39
H0TX22237,2
H0WI04132,9
H2OH15236,3
H0OR05088,14
H2MA02085,22
H0OR02135,12
H2WA08166,5
H8NJ05136,23
H0IL11128,27
H2CA16134,11
H0GA06200,26
H0AL02194,32
H0UT04035,9
H0CA16120,54
H0MT01098,7
H0NJ10232,20
H0KY03242,6
H0CA35146,9
H8WI04069,5
H0NM03193,1
H0NJ01207,6
H0MD05225,24
H0NV03116,8
H0FL09081,11
H0NV03124,35
H0MI03233,7
H0TN04195,21
H0NY14239,6
H0GA08099,14
H0MI03266,4
H0MN02126,2
H0HI02221,16
H0GA07265,1
H0TX22211,10
H0CO06101,4
H0OR03166,7
S0NM00066,19
H0FL20153,26
H0AZ05193,6
H0GA07307,9
H2WA04173,21
P40005928,6
S0TN00243,5
H0FL21136,9
H2FL20233,4
H2WY01040,24
H6TX19099,51
H2IA03093,22
H2IL06082,11
H8MN07102,3
H0MN05277,8
H0CA20122,1
H2FL20225,10
H0GA02258,4
H0CA15262,21
H2GA10125,19
H0FL07184,11
H0IL15160,2
H2TX12093,1
H0CT02207,7
S8NJ00541,29
H0TX17120,5
H0UT04092,29
H6FL07124,14
H0MS02082,2
H0IL04081,20
H0IN01333,7
H0MI10303,20
S2CO00159,4
H0FL21060,3
H0IL02127,6
S0TN00219,7
H0NY17315,10
H2CA54010,1
H2TX14206,25
S2ID00111,2
H0GA13131,11
H8MA02116,4
H0CA50202,13
H0AZ07090,3
H0CA45095,1
H0MA09027,1
H0TX24225,6
H0GA07224,16
H8FL13136,2
H0CA45087,3
H0WI03134,5
H2FL23104,7
H0FL26010,2
H2CA46131,1
H0CO06135,3
H0WA02213,1
H0OH13201,12
H0GA06226,1
H8VA01220,1
H8UT03238,5
H8WA01077,7
H0PA08197,3
H0FL27034,1
H0VA04072,10
H0MA09076,5
H2WA06160,1
H2IN08151,2
H0VA02092,1
H0IL14189,1
H2WI06067,5
H0FL08257,2
H8GA08092,8
H0AR01083,8
H0AL01071,1
H0WA06081,3
H0TX35023,5
S0VA00153,2
H0CO02217,4
H0VA07109,2
H2LA05191,2
H0FL10097,2
H0HI02288,2
H0CA51051,2
H0NH01316,2
S2FL00474,7
S0KS00364,9
H0FL03225,1
H2NM01268,2
H2WA03118,2
H2MI06125,4
H2SC07199,3
H0PA17107,1
H0UT04043,3
H0SC01360,1
H0WI07119,2
H8VT01065,5
H0TX17104,1
H2NH01254,5
S2OR00135,4
H2GA10174,3
H0MD04152,2
H6MN07304,1
H2FL09178,2
H0TX22229,1
H0NV04023,2
H8WA10037,3
H0GA07257,1
H2MI11133,1
H0PA06142,1
H0CA47141,2
H2TX32091,1
H0NH02280,1
H6VA08211,1
S2CA01144,2
H0NY14247,2
H0CA25113,1
H2MO08083,1
S2IL00150,1
H0NC11217,1
H0MI08133,1
H0TX33036,4
H0TX20132,1
H0OH09167,1
H2FL14244,1
H0GA04148,1
H2MI06109,1
H0TX09168,1
H8NV02129,2
H0VT01062,1
H0ME02067,1
H0TN01076,1
