total_raised,total_contributions,date,committee,committee_name
182646.43,509,2021-03,C00590489,VAL DEMINGS FOR CONGRESS
59941.2,353,2021-05,C00495952,SCHNEIDER FOR CONGRESS
54198.96000000004,205,2021-04,C00509968,CARTWRIGHT FOR CONGRESS
30677.0,101,2021-06,C00503110,SCOTT PETERS FOR CONGRESS
52068.96999999999,421,2021-05,C00657411,CONOR LAMB FOR CONGRESS
24826.5,166,2021-04,C00498568,FRIENDS OF CHERI BUSTOS
20535.0,93,2021-05,C00780700,ARAMIS AYALA FOR CONGRESS
176394.64,748,2021-06,C00765164,ALEX PADILLA FOR SENATE
130134.8,497,2021-03,C00637371,CHRISSY HOULAHAN FOR CONGRESS
134751.21,1122,2021-04,C00776740,SARAH FOR WISCONSIN
25404.649999999998,208,2021-06,C00677898,FRIENDS OF JAHANA HAYES
97354.97000000002,309,2021-06,C00503052,JEFFRIES FOR CONGRESS
791475.1299999901,15359,2021-02,C00736876,WARNOCK FOR GEORGIA
139389.2,345,2021-03,C00495952,SCHNEIDER FOR CONGRESS
222657.72,813,2021-03,C00769604,LASRY FOR WISCONSIN
16396.0,78,2021-04,C00345546,CITIZENS TO ELECT RICK LARSEN
140179.1800000019,3146,2021-06,C00718866,JON OSSOFF FOR SENATE
299730.18,2585,2021-05,C00588772,MAGGIE FOR NH
74670.0,249,2021-04,C00774901,O'CONNOR FOR CONGRESS
75124.0,259,2021-06,C00410803,WHITEHOUSE FOR SENATE
60622.5,440,2021-02,C00498568,FRIENDS OF CHERI BUSTOS
312502.22000000003,428,2021-06,C00699744,TORRES FOR CONGRESS
12705.0,51,2021-05,C00775247,DR. BAUMLIN FOR PA
64400.65000000007,1137,2021-02,C00680934,ILHAN FOR CONGRESS
154658.33,382,2021-03,C00431056,BOB CASEY FOR SENATE INC
129637.0,455,2021-05,C00573758,VAN HOLLEN FOR SENATE
35583.24,508,2021-02,C00668608,RASHIDA TLAIB FOR CONGRESS
58257.68,172,2021-06,C00476523,KAREN BASS FOR CONGRESS
13105.0,11,2021-03,C00775478,ODESSA FOR CONGRESS
135707.26,751,2021-03,C00648493,CASTEN FOR CONGRESS
180295.17,701,2021-06,C00656686,TOM MALINOWSKI FOR CONGRESS
77619.0,202,2021-06,C00590778,LISA BLUNT ROCHESTER FOR CONGRESS
22590.570000000058,282,2021-02,C00374058,A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE
295743.39999999997,4030,2021-06,C00767400,JEFF JACKSON FOR US SENATE
93861.72000000012,873,2021-06,C00781104,KINA COLLINS FOR CONGRESS
9153.33,55,2021-02,C00677898,FRIENDS OF JAHANA HAYES
53100.37,770,2021-02,C00667741,THE COMMITTEE TO ELECT AYANNA PRESSLEY
119850.62000000001,320,2021-02,C00634253,MIKE LEVIN FOR CONGRESS
46405.0,82,2021-03,C00620443,STEPHANIE MURPHY FOR CONGRESS
370999.5500000021,8910,2021-02,C00639591,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS
160094.36,1008,2021-06,C00668608,RASHIDA TLAIB FOR CONGRESS
513247.94999999955,6492,2021-05,C00777771,TIM RYAN FOR OHIO
130853.26000000007,2115,2021-04,C00574889,TAMMY FOR ILLINOIS
45556.42999999999,156,2021-05,C00668228,NEVADANS FOR STEVEN HORSFORD
262760.29000000015,3239,2021-05,C00668608,RASHIDA TLAIB FOR CONGRESS
71928.60000000002,377,2021-02,C00636670,MARIE NEWMAN FOR CONGRESS
222382.46000000005,3551,2021-02,C00636571,KATIE PORTER FOR CONGRESS
63142.0,602,2021-04,C00502294,SWALWELL FOR CONGRESS
75016.0,388,2021-02,C00503185,RO FOR CONGRESS INC
133997.82,1384,2021-03,C00264697,FRIENDS OF SHERROD BROWN
51629.0,246,2021-06,C00780700,ARAMIS AYALA FOR CONGRESS
115337.57,92,2021-05,C00486563,MANCHIN FOR WEST VIRGINIA
232941.92999999996,1725,2021-06,C00652719,LAUREN UNDERWOOD FOR CONGRESS
35570.0,75,2021-02,C00620443,STEPHANIE MURPHY FOR CONGRESS
102978.2,598,2021-03,C00774927,DR. FRIESE FOR ARIZONA
52640.0,107,2021-05,C00273169,MALONEY FOR CONGRESS
143719.76,393,2021-03,C00773820,ENGEL FOR ARIZONA
71724.0,392,2021-04,C00492991,BLUMENTHAL FOR CONNECTICUT
156910.33,623,2021-06,C00575209,ANGIE CRAIG FOR CONGRESS
303139.0,821,2021-06,C00775510,VAL ARKOOSH FOR US SENATE
68608.0,497,2021-05,C00492991,BLUMENTHAL FOR CONNECTICUT
77118.0,125,2021-03,C00648253,JOE NEGUSE FOR CONGRESS
260216.83,3305,2021-04,C00777771,TIM RYAN FOR OHIO
164520.79,755,2021-06,C00767657,HEATHER MIZEUR FOR CONGRESS
94547.89000000004,610,2021-05,C00765164,ALEX PADILLA FOR SENATE
109237.26999999999,602,2021-05,C00767657,HEATHER MIZEUR FOR CONGRESS
117832.63999999994,601,2021-04,C00373464,TIM RYAN FOR CONGRESS
221453.06000000008,577,2021-02,C00373464,TIM RYAN FOR CONGRESS
51108.77,180,2021-06,C00660464,CHRIS PAPPAS FOR CONGRESS
45142.0,162,2021-06,C00258475,ANNA ESHOO FOR CONGRESS
207766.44,3008,2021-02,C00768317,COLORADANS FOR KERRY DONOVAN
58545.42000000002,152,2021-02,C00509968,CARTWRIGHT FOR CONGRESS
29775.0,58,2021-06,C00311639,DIANA DEGETTE FOR CONGRESS
33004.41000000002,265,2021-03,C00765461,DEREK MARSHALL FOR CONGRESS
20346.5,138,2021-05,C00514893,PEOPLE FOR DEREK KILMER
37045.59999999999,185,2021-05,C00445452,CONNOLLY FOR CONGRESS
18572.09,76,2021-05,C00592659,VICENTE GONZALEZ FOR CONGRESS
7800.0,37,2021-05,C00555813,KATHLEEN RICE FOR CONGRESS
11995.0,9,2021-06,C00653196,DAVID TRONE FOR CONGRESS
33232.0,87,2021-03,C00494856,LOIS FRANKEL FOR CONGRESS
64847.5,259,2021-02,C00637868,COLIN ALLRED FOR CONGRESS
35103.0,116,2021-06,C00461061,BERA FOR CONGRESS
135984.76,251,2021-06,C00668228,NEVADANS FOR STEVEN HORSFORD
64862.15999999992,1296,2021-05,C00540500,CORY BOOKER FOR SENATE
49221.149999999994,295,2021-04,C00508804,SINEMA FOR ARIZONA
23633.0,41,2021-03,C00469163,TED DEUTCH FOR CONGRESS COMMITTEE
