total_raised,total_contributions,date,committee,committee_name
235058.10000000586,4226,2020-10,C00694778,NICOLE FOR NEW YORK
152855.0700000006,3744,2020-10,C00521948,RODNEY FOR CONGRESS
65406.52999999988,469,2020-10,C00718635,"TIFFANY FOR WISCONSIN, INC."
155239.8200000037,4365,2020-10,C00733394,TAYLOR FOR CONGRESS 2020
121509.45999999855,5339,2020-10,C00730150,NEHLS FOR CONGRESS
72464.21000000017,3022,2020-10,C00730895,KAT FOR CONGRESS
489392.1799999879,12757,2020-10,C00724914,AMERICANS FOR PARNELL COMMITTEE
145766.6799999962,5800,2020-10,C00735985,CARLOS GIMENEZ FOR CONGRESS
76791.54000000001,2581,2020-10,C00301838,STEVE CHABOT FOR CONGRESS
354131.28000000987,14855,2020-10,C00665638,YOUNG KIM FOR CONGRESS
16855.0,53,2020-10,C00636092,HERN FOR CONGRESS
14975.0,16,2020-10,C00473132,MCKINLEY FOR CONGRESS
78176.19,1719,2020-10,C00458463,PORTMAN FOR SENATE COMMITTEE
13064.99,93,2020-10,C00732727,DASHA FOR CONGRESS
37835.20000000002,477,2020-10,C00501643,DAVID ROUZER FOR CONGRESS
18067.550000000017,88,2020-10,C00393629,MCHENRY FOR CONGRESS
87291.06,2343,2020-10,C00547976,"BEN SASSE FOR U.S. SENATE, INC."
153821.73000000315,2813,2020-10,C00575167,DON BACON FOR CONGRESS
106571.43999999993,3265,2020-10,C00722454,DALE CRAFTS FOR CONGRESS
157593.64999999863,4447,2020-10,C00499392,VALADAO FOR CONGRESS
102697.96999999997,3671,2020-10,C00612432,FRIENDS OF MATT GAETZ
32562.19000000049,1191,2020-10,C00663914,DEBBIE LESKO FOR CONGRESS
18027.32,66,2020-10,C00608695,MIKE JOHNSON FOR LOUISIANA
150651.7500000019,4433,2020-10,C00706614,TONY GONZALES FOR CONGRESS
31785.430000000415,2074,2020-10,C00460659,MANN FOR CONGRESS
23479.04,203,2020-10,C00708073,RONDA KENNEDY FOR CONGRESS 2020
37285.44999999995,664,2020-10,C00614776,TED BUDD FOR CONGRESS
86060.59000000432,7831,2020-10,C00706747,FRIENDS OF MCCORMICK
32488.380000000012,968,2020-10,C00409581,FRIENDS OF JOHN THUNE
4426.370000000003,140,2020-10,C00697052,FRED KELLER FOR CONGRESS
4135.0,25,2020-10,C00450353,FRIENDS OF PETER THERON
18400.0,9,2020-10,C00551374,GARY PALMER FOR CONGRESS
31955.2,170,2020-10,C00372532,MICHAEL BURGESS FOR CONGRESS
106521.47,511,2020-10,C00711572,BECCHI FOR CONGRESS
6664.0,84,2020-10,C00708289,GREENE FOR CONGRESS
3155.0,8,2020-10,C00558486,GARRET GRAVES FOR CONGRESS
12796.0,28,2020-10,C00582304,FRIENDS OF NEAL DUNN
33138.0,49,2020-10,C00742106,LETLOW FOR CONGRESS
212748.65999999933,14554,2020-10,C00661868,VAN DREW FOR CONGRESS
2800.0,1,2020-10,C00698373,MARTIN FOR FREEDOM
76262.39000000029,3564,2020-10,C00200584,UPTON FOR ALL OF US
235060.9100000032,6529,2020-10,C00733329,BYRON DONALDS FOR CONGRESS
6748.0,117,2020-10,C00741538,"STANTON-KING FOR CONGRESS, INC."
