linenumber,fec_committee_id,transaction_id,,,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,,date,amount,,purpose,memo_code,memo_text,cycle
"SB21B","C00762591","SB21B.5212","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211004","223.61","","AMEX PMT [SB21B.4269]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5213","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211004","224.13","","AMEX PMT [SB21B.4269]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5214","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211012","124.33","","AMEX PMT [SB21B.4271]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5215","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211012","431.57","","AMEX PMT [SB21B.4271]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5216","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211104","452.40","","AMEX PMT [SB21B.4274]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5217","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211104","583.40","","AMEX PMT [SB21B.4274]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5218","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211121","237.30","","AMEX PMT [SB21B.4277]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5219","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211121","405.85","","AMEX PMT [SB21B.4277]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5221","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211211","1008.27","","AMEX PMT [SB21B.4280]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5220","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20211212","510.82","","AMEX PMT [SB21B.4280]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.4265","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20210712","34512.28","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4266","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20210809","65864.80","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4267","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20210913","75298.98","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4268","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20210930","190407.46","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4269","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211014","118408.36","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4270","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211022","172558.20","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4271","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211101","103358.31","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4272","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211108","96533.78","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4273","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211112","540.00","","CARD SERVICES/TRANSACTION FEES","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4274","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211112","101538.33","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4275","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211119","110002.74","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4276","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","","NEW YORK","NY","10285","","","20211126","69932.95","","CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
